edge_id,station_a,station_b,lines,n_lines
Camden Town__Kentish Town,Camden Town,Kentish Town,Northern-High Barnet,1
Camden Town__Mornington Crescent,Camden Town,Mornington Crescent,Northern-Charing Cross;Northern-Main,2
Canada Water__Canary Wharf,Canada Water,Canary Wharf,Jubilee,1
Canary Wharf__North Greenwich,Canary Wharf,North Greenwich,Jubilee,1
Canning Town__North Greenwich,Canning Town,North Greenwich,Jubilee,1
Canning Town__West Ham,Canning Town,West Ham,Jubilee,1
Cannon Street__Mansion House,Cannon Street,Mansion House,Circle-Main;District-Main,2
Canons Park__Queensbury,Canons Park,Queensbury,Jubilee,1
Canons Park__Stanmore,Canons Park,Stanmore,Jubilee,1
Chalfont & Latimer__Chesham,Chalfont & Latimer,Chesham,Metropolitan-Chesham,1
Chalfont & Latimer__Chorleywood,Chalfont & Latimer,Chorleywood,Metropolitan-Main,1
Chancery Lane__Holborn,Chancery Lane,Holborn,Central-Main,1
Chancery Lane__St. Paul’s,Chancery Lane,St. Paul’s,Central-Main,1
Charing Cross__Embankment,Charing Cross,Embankment,Bakerloo;Northern-Charing Cross,2
Charing Cross__Leicester Square,Charing Cross,Leicester Square,Northern-Charing Cross,1
Charing Cross__Piccadilly Circus,Charing Cross,Piccadilly Circus,Bakerloo,1
Chigwell__Grange Hill,Chigwell,Grange Hill,Central-Hainault Loop;Central-Main,2
Chigwell__Roding Valley,Chigwell,Roding Valley,Central-Hainault Loop;Central-Main,2
Chiswick Park__Turnham Green,Chiswick Park,Turnham Green,District-Main,1
Chorleywood__Rickmansworth,Chorleywood,Rickmansworth,Metropolitan-Main,1
Clapham Common__Clapham North,Clapham Common,Clapham North,Northern-Main,1
Clapham Common__Clapham South,Clapham Common,Clapham South,Northern-Main,1
Clapham North__Stockwell,Clapham North,Stockwell,Northern-Main,1
Cockfosters__Oakwood,Cockfosters,Oakwood,Piccadilly-Main,1
Colindale__Hendon Central,Colindale,Hendon Central,Northern-Main,1
Colliers Wood__South Wimbledon,Colliers Wood,South Wimbledon,Northern-Main,1
Colliers Wood__Tooting Broadway,Colliers Wood,Tooting Broadway,Northern-Main,1
Covent Garden__Holborn,Covent Garden,Holborn,Piccadilly-Main,1
Covent Garden__Leicester Square,Covent Garden,Leicester Square,Piccadilly-Main,1
Croxley__Moor Park,Croxley,Moor Park,Metropolitan-Watford,1
Croxley__Watford,Croxley,Watford,Metropolitan-Watford,1
Dagenham East__Dagenham Heathway,Dagenham East,Dagenham Heathway,District-Main,1
Dagenham East__Elm Park,Dagenham East,Elm Park,District-Main,1
Debden__Loughton,Debden,Loughton,Central-Epping;Central-Main,2
Debden__Theydon Bois,Debden,Theydon Bois,Central-Epping;Central-Main,2
Dollis Hill__Neasden,Dollis Hill,Neasden,Jubilee,1
Dollis Hill__Willesden Green,Dollis Hill,Willesden Green,Jubilee,1
Ealing Broadway__Ealing Common,Ealing Broadway,Ealing Common,District-Main,1
Ealing Broadway__West Acton,Ealing Broadway,West Acton,Central-Main,1
Ealing Common__North Ealing,Ealing Common,North Ealing,Piccadilly-Uxbridge,1
Earl's Court__Gloucester Road,Earl's Court,Gloucester Road,District-Main;Piccadilly-Main,2
Earl's Court__High Street Kensington,Earl's Court,High Street Kensington,District-Edgware Road,1
Earl's Court__Kensington (Olympia),Earl's Court,Kensington (Olympia),District-Kensington,1
Earl's Court__West Brompton,Earl's Court,West Brompton,District-Wimbledon,1
Earl's Court__West Kensington,Earl's Court,West Kensington,District-Main,1
East Acton__North Acton,East Acton,North Acton,Central-Main,1
East Acton__White City,East Acton,White City,Central-Main,1
East Finchley__Finchley Central,East Finchley,Finchley Central,Northern-High Barnet,1
East Finchley__Highgate,East Finchley,Highgate,Northern-High Barnet,1
East Ham__Upton Park,East Ham,Upton Park,District-Main;Hammersmith & City,2
East Putney__Putney Bridge,East Putney,Putney Bridge,District-Wimbledon,1
East Putney__Southfields,East Putney,Southfields,District-Wimbledon,1
Eastcote__Rayners Lane,Eastcote,Rayners Lane,Metropolitan-Uxbridge;Piccadilly-Uxbridge,2
